State,   TAVG,   TMIN,   TMAX,Date,Year,Month
Alabama,40.8,30.8,50.9,1994-01-01,1994,1
Alabama,50.3,38.3,62.2,1994-02-01,1994,2
Alabama,55.8,42.3,69.2,1994-03-01,1994,3
Alabama,64.7,51.3,78.2,1994-04-01,1994,4
Alabama,68.4,56.2,80.6,1994-05-01,1994,5
Alabama,77.8,68.2,87.4,1994-06-01,1994,6
Alabama,77.6,68.5,86.6,1994-07-01,1994,7
Alabama,77.2,66.8,87.5,1994-08-01,1994,8
Alabama,72.2,61.0,83.4,1994-09-01,1994,9
Alabama,64.0,54.2,73.6,1994-10-01,1994,10
Alabama,58.0,46.4,69.6,1994-11-01,1994,11
Alabama,49.9,40.0,59.8,1994-12-01,1994,12
Alabama,45.4,34.9,56.0,1995-01-01,1995,1
Alabama,47.6,36.0,59.2,1995-02-01,1995,2
Alabama,58.2,46.9,69.6,1995-03-01,1995,3
Alabama,63.2,49.8,76.5,1995-04-01,1995,4
Alabama,72.1,60.5,83.7,1995-05-01,1995,5
Alabama,75.2,63.7,86.7,1995-06-01,1995,6
Alabama,81.1,69.5,92.8,1995-07-01,1995,7
Alabama,81.9,71.6,92.2,1995-08-01,1995,8
Alabama,73.7,62.0,85.5,1995-09-01,1995,9
Alabama,63.6,51.4,75.8,1995-10-01,1995,10
Alabama,49.7,37.5,61.8,1995-11-01,1995,11
Alabama,44.7,34.1,55.2,1995-12-01,1995,12
Alabama,43.5,31.7,55.4,1996-01-01,1996,1
Alabama,47.3,35.5,59.1,1996-02-01,1996,2
Alabama,50.9,39.0,62.8,1996-03-01,1996,3
Alabama,60.0,46.3,73.7,1996-04-01,1996,4
Alabama,73.0,60.5,85.4,1996-05-01,1996,5
Alabama,76.7,66.0,87.4,1996-06-01,1996,6
Alabama,79.6,69.0,90.2,1996-07-01,1996,7
Alabama,77.9,67.7,88.1,1996-08-01,1996,8
Alabama,72.1,61.3,83.0,1996-09-01,1996,9
Alabama,62.7,50.9,74.6,1996-10-01,1996,10
Alabama,52.7,41.5,64.0,1996-11-01,1996,11
Alabama,49.1,37.7,60.6,1996-12-01,1996,12
Alabama,45.9,35.8,56.0,1997-01-01,1997,1
Alabama,50.8,40.8,60.8,1997-02-01,1997,2
Alabama,61.2,48.4,74.0,1997-03-01,1997,3
Alabama,58.8,46.1,71.6,1997-04-01,1997,4
Alabama,67.2,55.1,79.2,1997-05-01,1997,5
Alabama,74.0,65.0,82.9,1997-06-01,1997,6
Alabama,80.1,70.0,90.2,1997-07-01,1997,7
Alabama,77.7,67.0,88.4,1997-08-01,1997,8
Alabama,74.8,62.4,87.2,1997-09-01,1997,9
Alabama,63.1,50.5,75.8,1997-10-01,1997,10
Alabama,50.0,39.2,60.7,1997-11-01,1997,11
Alabama,44.8,34.7,54.8,1997-12-01,1997,12
Alabama,47.8,37.8,57.7,1998-01-01,1998,1
Alabama,49.2,38.7,59.7,1998-02-01,1998,2
Alabama,53.4,42.2,64.7,1998-03-01,1998,3
Alabama,61.6,49.7,73.4,1998-04-01,1998,4
Alabama,73.6,60.8,86.3,1998-05-01,1998,5
Alabama,80.7,69.0,92.3,1998-06-01,1998,6
Alabama,81.8,71.7,91.8,1998-07-01,1998,7
Alabama,79.9,68.7,91.2,1998-08-01,1998,8
Alabama,77.4,66.5,88.2,1998-09-01,1998,9
Alabama,66.8,53.6,80.0,1998-10-01,1998,10
Alabama,57.9,46.2,69.6,1998-11-01,1998,11
Alabama,51.4,42.0,60.8,1998-12-01,1998,12
Alabama,49.4,37.4,61.3,1999-01-01,1999,1
Alabama,51.8,39.9,63.8,1999-02-01,1999,2
Alabama,52.8,39.5,66.2,1999-03-01,1999,3
Alabama,67.1,54.9,79.2,1999-04-01,1999,4
Alabama,69.5,56.6,82.3,1999-05-01,1999,5
Alabama,76.7,67.1,86.2,1999-06-01,1999,6
Alabama,80.5,70.5,90.5,1999-07-01,1999,7
Alabama,81.8,69.5,94.2,1999-08-01,1999,8
Alabama,73.3,59.8,86.8,1999-09-01,1999,9
Alabama,63.6,50.5,76.6,1999-10-01,1999,10
Alabama,56.2,42.2,70.1,1999-11-01,1999,11
Alabama,47.0,34.6,59.4,1999-12-01,1999,12
Alabama,46.5,35.9,57.1,2000-01-01,2000,1
Alabama,52.3,38.4,66.2,2000-02-01,2000,2
Alabama,58.9,45.6,72.1,2000-03-01,2000,3
Alabama,60.1,46.8,73.4,2000-04-01,2000,4
Alabama,74.0,61.6,86.3,2000-05-01,2000,5
Alabama,77.6,65.7,89.4,2000-06-01,2000,6
Alabama,81.9,68.9,94.9,2000-07-01,2000,7
Alabama,81.0,68.2,93.8,2000-08-01,2000,8
Alabama,73.9,62.6,85.2,2000-09-01,2000,9
Alabama,64.6,49.6,79.7,2000-10-01,2000,10
Alabama,52.8,42.0,63.6,2000-11-01,2000,11
Alabama,39.2,28.6,49.8,2000-12-01,2000,12
Alabama,41.2,29.9,52.5,2001-01-01,2001,1
Alabama,52.6,41.0,64.1,2001-02-01,2001,2
Alabama,51.4,41.1,61.8,2001-03-01,2001,3
Alabama,64.7,52.4,77.0,2001-04-01,2001,4
Alabama,70.6,57.8,83.4,2001-05-01,2001,5
Alabama,75.8,65.6,86.1,2001-06-01,2001,6
Alabama,79.7,69.4,90.0,2001-07-01,2001,7
Alabama,78.5,68.8,88.1,2001-08-01,2001,8
Alabama,71.9,61.2,82.6,2001-09-01,2001,9
Alabama,60.6,46.8,74.4,2001-10-01,2001,10
Alabama,58.8,44.1,73.6,2001-11-01,2001,11
Alabama,50.6,39.1,62.0,2001-12-01,2001,12
Alabama,46.8,35.3,58.3,2002-01-01,2002,1
Alabama,46.0,33.3,58.8,2002-02-01,2002,2
Alabama,55.0,41.6,68.4,2002-03-01,2002,3
Alabama,66.4,54.8,78.1,2002-04-01,2002,4
Alabama,70.2,58.2,82.3,2002-05-01,2002,5
Alabama,77.2,65.9,88.5,2002-06-01,2002,6
Alabama,80.3,69.8,90.8,2002-07-01,2002,7
Alabama,79.7,68.6,90.8,2002-08-01,2002,8
Alabama,77.3,67.7,86.9,2002-09-01,2002,9
Alabama,67.8,59.7,75.8,2002-10-01,2002,10
Alabama,51.0,39.9,62.2,2002-11-01,2002,11
Alabama,45.2,34.1,56.3,2002-12-01,2002,12
Alabama,40.0,28.4,51.5,2003-01-01,2003,1
Alabama,48.0,37.2,58.7,2003-02-01,2003,2
Alabama,57.6,46.9,68.3,2003-03-01,2003,3
Alabama,63.3,50.8,75.8,2003-04-01,2003,4
Alabama,71.6,61.6,81.7,2003-05-01,2003,5
Alabama,75.6,65.7,85.5,2003-06-01,2003,6
Alabama,78.5,69.2,87.8,2003-07-01,2003,7
Alabama,79.4,69.9,89.0,2003-08-01,2003,8
Alabama,73.1,61.6,84.6,2003-09-01,2003,9
Alabama,63.5,51.1,75.9,2003-10-01,2003,10
Alabama,58.2,45.6,70.9,2003-11-01,2003,11
Alabama,44.0,31.6,56.3,2003-12-01,2003,12
Alabama,44.2,32.6,55.8,2004-01-01,2004,1
Alabama,45.4,36.0,54.6,2004-02-01,2004,2
Alabama,59.0,45.4,72.5,2004-03-01,2004,3
