State,Median_Income,Year,Date
United States,59039.0,2016,2016-01-01
Alabama,47221.0,2016,2016-01-01
Alaska,75723.0,2016,2016-01-01
Arizona,57100.0,2016,2016-01-01
Arkansas,45907.0,2016,2016-01-01
California,66637.0,2016,2016-01-01
Colorado,70566.0,2016,2016-01-01
Connecticut,75923.0,2016,2016-01-01
Delaware,58046.0,2016,2016-01-01
D.C.,70982.0,2016,2016-01-01
Florida,51176.0,2016,2016-01-01
Georgia,53527.0,2016,2016-01-01
Hawaii,72133.0,2016,2016-01-01
Idaho,56564.0,2016,2016-01-01
Illinois,61386.0,2016,2016-01-01
Indiana,56094.0,2016,2016-01-01
Iowa,59094.0,2016,2016-01-01
Kansas,56810.0,2016,2016-01-01
Kentucky,45369.0,2016,2016-01-01
Louisiana,42196.0,2016,2016-01-01
Maine,50856.0,2016,2016-01-01
Maryland,73760.0,2016,2016-01-01
Massachusetts,72266.0,2016,2016-01-01
Michigan,57091.0,2016,2016-01-01
Minnesota,70218.0,2016,2016-01-01
Mississippi,41099.0,2016,2016-01-01
Missouri,55016.0,2016,2016-01-01
Montana,57075.0,2016,2016-01-01
Nebraska,59374.0,2016,2016-01-01
Nevada,55431.0,2016,2016-01-01
New Hampshire,76260.0,2016,2016-01-01
New Jersey,68468.0,2016,2016-01-01
New Mexico,48451.0,2016,2016-01-01
New York,61437.0,2016,2016-01-01
North Carolina,53764.0,2016,2016-01-01
North Dakota,60184.0,2016,2016-01-01
Ohio,53985.0,2016,2016-01-01
Oklahoma,50943.0,2016,2016-01-01
Oregon,59135.0,2016,2016-01-01
Pennsylvania,60979.0,2016,2016-01-01
Rhode Island,61528.0,2016,2016-01-01
South Carolina,54336.0,2016,2016-01-01
South Dakota,57450.0,2016,2016-01-01
Tennessee,51344.0,2016,2016-01-01
Texas,58146.0,2016,2016-01-01
Utah,67481.0,2016,2016-01-01
Vermont,60837.0,2016,2016-01-01
Virginia,66451.0,2016,2016-01-01
Washington,70310.0,2016,2016-01-01
West Virginia,44354.0,2016,2016-01-01
Wisconsin,59817.0,2016,2016-01-01
Wyoming,57829.0,2016,2016-01-01
United States,56516.0,2015,2015-01-01
Alabama,44509.0,2015,2015-01-01
Alaska,75112.0,2015,2015-01-01
Arizona,52248.0,2015,2015-01-01
Arkansas,42798.0,2015,2015-01-01
California,63636.0,2015,2015-01-01
Colorado,66596.0,2015,2015-01-01
Connecticut,72889.0,2015,2015-01-01
Delaware,57756.0,2015,2015-01-01
D.C.,70071.0,2015,2015-01-01
Florida,48825.0,2015,2015-01-01
Georgia,50768.0,2015,2015-01-01
Hawaii,64514.0,2015,2015-01-01
Idaho,51624.0,2015,2015-01-01
Illinois,60413.0,2015,2015-01-01
Indiana,51983.0,2015,2015-01-01
Iowa,60855.0,2015,2015-01-01
Kansas,54865.0,2015,2015-01-01
Kentucky,42387.0,2015,2015-01-01
Louisiana,45922.0,2015,2015-01-01
Maine,50756.0,2015,2015-01-01
Maryland,73594.0,2015,2015-01-01
Massachusetts,67861.0,2015,2015-01-01
Michigan,54203.0,2015,2015-01-01
Minnesota,68730.0,2015,2015-01-01
Mississippi,40037.0,2015,2015-01-01
Missouri,59196.0,2015,2015-01-01
Montana,51395.0,2015,2015-01-01
Nebraska,60474.0,2015,2015-01-01
Nevada,52008.0,2015,2015-01-01
New Hampshire,75675.0,2015,2015-01-01
New Jersey,68357.0,2015,2015-01-01
New Mexico,45119.0,2015,2015-01-01
New York,58005.0,2015,2015-01-01
North Carolina,50797.0,2015,2015-01-01
North Dakota,57415.0,2015,2015-01-01
Ohio,53301.0,2015,2015-01-01
Oklahoma,47077.0,2015,2015-01-01
Oregon,60834.0,2015,2015-01-01
Pennsylvania,60389.0,2015,2015-01-01
Rhode Island,55701.0,2015,2015-01-01
South Carolina,46360.0,2015,2015-01-01
South Dakota,55065.0,2015,2015-01-01
Tennessee,47330.0,2015,2015-01-01
Texas,56473.0,2015,2015-01-01
Utah,66258.0,2015,2015-01-01
Vermont,59494.0,2015,2015-01-01
Virginia,61486.0,2015,2015-01-01
Washington,67243.0,2015,2015-01-01
West Virginia,42824.0,2015,2015-01-01
Wisconsin,55425.0,2015,2015-01-01
Wyoming,60925.0,2015,2015-01-01
United States,53657.0,2014,2014-01-01
Alabama,42278.0,2014,2014-01-01
Alaska,67629.0,2014,2014-01-01
Arizona,49254.0,2014,2014-01-01
Arkansas,44922.0,2014,2014-01-01
California,60487.0,2014,2014-01-01
Colorado,60940.0,2014,2014-01-01
Connecticut,70161.0,2014,2014-01-01
Delaware,57522.0,2014,2014-01-01
D.C.,68277.0,2014,2014-01-01
Florida,46140.0,2014,2014-01-01
