Year,State_Abbrev,Population
1994,AK,603308
1994,AL,4260229
1994,AR,2494019
1994,AZ,4245089
1994,CA,31484435
1994,CO,3724168
1994,CT,3316121
1994,DC,589239
1994,DE,717545
1994,FL,14239444
1994,GA,7157165
1994,HI,1187536
1994,IA,2850746
1994,ID,1145140
1994,IL,11912585
1994,IN,5793526
1994,KS,2580513
1994,KY,3849088
1994,LA,4347481
1994,MA,6095241
1994,MD,5023060
1994,ME,1242662
1994,MI,9597737
1994,MN,4610355
1994,MO,5324497
1994,MS,2688992
1994,MT,861306
1994,NC,7187398
1994,ND,644804
1994,NE,1639041
1994,NH,1142560
1994,NJ,8014306
1994,NM,1682398
1994,NV,1499298
1994,NY,18459470
1994,OH,11152454
1994,OK,3280940
1994,OR,3121264
1994,PA,12166050
1994,RI,1015960
1994,SC,3705397
1994,SD,730790
1994,TN,5231438
1994,TX,18564062
1994,UT,1960446
1994,VA,6593139
1994,VT,583836
1994,WA,5375161
1994,WI,5133678
1994,WV,1820421
1994,WY,480283
1995,AK,604412
1995,AL,4296800
1995,AR,2535399
1995,AZ,4432499
1995,CA,31696582
1995,CO,3826653
1995,CT,3324144
1995,DC,580517
1995,DE,729734
1995,FL,14537875
1995,GA,7328413
1995,HI,1196854
1995,IA,2867373
1995,ID,1177322
1995,IL,12008437
1995,IN,5851459
1995,KS,2601007
1995,KY,3887427
1995,LA,4378779
1995,MA,6141445
1995,MD,5070033
1995,ME,1243480
1995,MI,9676211
1995,MN,4660180
1995,MO,5378247
1995,MS,2722659
1995,MT,876553
1995,NC,7344674
1995,ND,647832
1995,NE,1656992
1995,NH,1157561
1995,NJ,8083242
1995,NM,1720394
1995,NV,1581578
1995,NY,18524104
1995,OH,11202751
1995,OK,3308208
1995,OR,3184369
1995,PA,12198403
1995,RI,1017002
1995,SC,3748582
1995,SD,737925
1995,TN,5326936
1995,TX,18958751
1995,UT,2014177
1995,VA,6670693
1995,VT,589002
1995,WA,5481027
1995,WI,5184836
1995,WV,1823700
1995,WY,485160
1996,AK,608569
1996,AL,4331102
1996,AR,2572109
1996,AZ,4586940
1996,CA,32018834
1996,CO,3919972
1996,CT,3336685
1996,DC,572377
1996,DE,740977
1996,FL,14853360
1996,GA,7501069
1996,HI,1203755
1996,IA,2880000
1996,ID,1203083
1996,IL,12101997
1996,IN,5906013
1996,KS,2614554
1996,KY,3919535
1996,LA,4398877
1996,MA,6179756
1996,MD,5111986
1996,ME,1249060
1996,MI,9758645
1996,MN,4712827
1996,MO,5431553
1996,MS,2748085
1996,MT,886254
1996,NC,7500670
1996,ND,650382
1996,NE,1673740
1996,NH,1174719
1996,NJ,8149596
1996,NM,1752326
1996,NV,1666320
1996,NY,18588460
1996,OH,11242827
1996,OK,3340129
1996,OR,3247111
1996,PA,12220464
1996,RI,1020893
1996,SC,3796200
1996,SD,742213
1996,TN,5416643
1996,TX,19340342
1996,UT,2067976
1996,VA,6750884
1996,VT,593701
1996,WA,5569753
1996,WI,5229986
1996,WV,1822808
1996,WY,488167
1997,AK,612968
1997,AL,4367935
1997,AR,2601090
1997,AZ,4736990
1997,CA,32486010
1997,CO,4018293
1997,CT,3349348
1997,DC,567736
1997,DE,751487
1997,FL,15186304
1997,GA,7685099
1997,HI,1211640
1997,IA,2891119
1997,ID,1228520
1997,IL,12185715
1997,IN,5955267
1997,KS,2635292
1997,KY,3952747
1997,LA,4421071
1997,MA,6226058
1997,MD,5157328
1997,ME,1254774
1997,MI,9809051
1997,MN,4763390
1997,MO,5481193
1997,MS,2777004
1997,MT,889865
1997,NC,7656825
1997,ND,649716
1997,NE,1686418
1997,NH,1189425
1997,NJ,8218808
1997,NM,1774839
1997,NV,1764104
1997,NY,18656546
1997,OH,11277357
1997,OK,3372917
1997,OR,3304310
1997,PA,12227814
1997,RI,1025353
1997,SC,3859696
1997,SD,744223
1997,TN,5499233
1997,TX,19740317
1997,UT,2119784
1997,VA,6829183
1997,VT,597239
1997,WA,5674747
1997,WI,5266213
1997,WV,1819113
1997,WY,489451
1998,AK,619932
1998,AL,4404701
1998,AR,2626289
1998,AZ,4883342
1998,CA,32987675
1998,CO,4116639
1998,CT,3365352
1998,DC,565230
1998,DE,763335
1998,FL,15486559
1998,GA,7863536
1998,HI,1215233
1998,IA,2902872
1998,ID,1252330
1998,IL,12271847
1998,IN,5998880
1998,KS,2660598
1998,KY,3985390
1998,LA,4440344
1998,MA,6271838
1998,MD,5204464
1998,ME,1259127
1998,MI,9847942
1998,MN,4813412
1998,MO,5521765
1998,MS,2804834
1998,MT,892431
1998,NC,7809121
1998,ND,647532
1998,NE,1695816
1998,NH,1205940
1998,NJ,8287418
1998,NM,1793484
1998,NV,1853191
1998,NY,18755906
1998,OH,11311536
1998,OK,3405194
1998,OR,3352449
1998,PA,12245672
1998,RI,1031155
1998,SC,3919235
1998,SD,746058
1998,TN,5570045
1998,TX,20157531
1998,UT,2165960
1998,VA,6900918
1998,VT,600416
1998,WA,5769562
1998,WI,5297672
1998,WV,1815609
1998,WY,490787
1999,AK,624779
1999,AL,4430141
1999,AR,2651860
1999,AZ,5023823
1999,CA,33499204
1999,CO,4226018
1999,CT,3386401
1999,DC,570213
1999,DE,774990
1999,FL,15759421
1999,GA,8045965
1999,HI,1210300
1999,IA,2917634
1999,ID,1275674
1999,IL,12359020
1999,IN,6044969
1999,KS,2678338
1999,KY,4018053
1999,LA,4460811
1999,MA,6317345
1999,MD,5254509
1999,ME,1266808
1999,MI,9897116
1999,MN,4873481
1999,MO,5561948
1999,MS,2828408
1999,MT,897507
1999,NC,7949361
1999,ND,644259
1999,NE,1704764
1999,NH,1222014
1999,NJ,8359592
1999,NM,1808082
1999,NV,1934718
1999,NY,18882725
1999,OH,11335454
1999,OK,3437147
1999,OR,3393941
1999,PA,12263805
1999,RI,1040402
1999,SC,3974682
1999,SD,750412
1999,TN,5638706
1999,TX,20558220
1999,UT,2203482
1999,VA,7000174
1999,VT,604683
1999,WA,5842564
1999,WI,5332666
1999,WV,1811799
1999,WY,491780
2000,AK,627963
2000,AL,4452173
2000,AR,2678588
2000,AZ,5160586
2000,CA,33987977
2000,CO,4326921
2000,CT,3411777
2000,DC,572046
2000,DE,786373
2000,FL,16047515
2000,GA,8227303
2000,HI,1213519
2000,IA,2929067
2000,ID,1299430
2000,IL,12434161
2000,IN,6091866
2000,KS,2693681
2000,KY,4049021
2000,LA,4471885
2000,MA,6361104
2000,MD,5311034
2000,ME,1277072
2000,MI,9952450
2000,MN,4933692
2000,MO,5607285
2000,MS,2848353
2000,MT,903773
2000,NC,8081614
2000,ND,642023
2000,NE,1713820
2000,NH,1239882
2000,NJ,8430621
2000,NM,1821204
2000,NV,2018741
2000,NY,19001780
2000,OH,11363543
2000,OK,3454365
2000,OR,3429708
2000,PA,12284173
2000,RI,1050268
